Channel,Time
1302,4143.3247 
1020,4145.3244 
1359,4147.3235 
216,4149.3129 
179,4150.3161 
838,4154.3292 
1403,4157.2919 
324,4158.2963 
1255,4159.2966 
764,4161.2968 
445,4162.2994 
220,4164.2970 
704,4166.2996 
1375,4168.2946 
581,4169.3156 
526,4171.5435 
256,4172.4109 
106,4181.4332 
899,4185.2994 
554,4186.4501 
366,4188.3046 
233,4189.3778 
1344,4190.2996 
986,4192.3051 
700,4193.3528 
253,4195.3001 
404,4197.3038 
1284,4199.3076 
297,4202.3040 
332,4203.3543 
1024,4204.3078 
810,4205.2990 
104,4206.3100 
375,4209.3021 
403,4210.3038 
1270,4219.3855 
195,4220.3398 
222,4221.3860 
831,4222.3913 
1083,4223.3828 
826,4226.3479 
1346,4227.3367 
